13 02 1950	4.0875 14.4875 0.0 1.714756
14 02 1950	6.9875 12.7875 0.90000004 1.6948818
15 02 1950	4.0375 14.587501 0.0 2.5872974
16 02 1950	5.6375003 16.9875 0.0 2.8017676
17 02 1950	4.1875 18.9375 0.0 2.2980716
18 02 1950	3.7875 17.2375 0.0 2.2254238
19 02 1950	3.2875 16.5875 0.0 2.2024248
20 02 1950	5.7375 16.2375 0.0 2.2085397
21 02 1950	7.0375004 16.8375 0.0 2.2597005
22 02 1950	6.3375 15.087501 0.0 2.4063656
23 02 1950	3.5375 15.3875 0.0 2.3701282
24 02 1950	4.3875003 15.2375 0.1 1.7440499
25 02 1950	9.1375 15.6375 1.2 1.5532675
26 02 1950	8.587501 13.587501 8.2 2.004946
27 02 1950	6.3375 10.087501 0.0 2.8536596
28 02 1950	4.9875 8.837501 4.2 1.7031913
01 03 1950	2.7375 10.837501 0.2 2.1075225
02 03 1950	4.0375 11.837501 0.5 2.1699164
03 03 1950	3.4875 13.7875 0.0 2.1235104
04 03 1950	5.6875 14.587501 0.0 2.1379886
05 03 1950	4.2875 14.6375 0.0 2.010535
06 03 1950	4.1875 15.8875 0.0 2.4234774
07 03 1950	3.2875 16.2875 0.0 2.679809
08 03 1950	5.8375 17.387499 0.0 2.7581751
09 03 1950	6.8375 16.5875 0.0 2.8046937
10 03 1950	6.1875 17.637499 0.0 3.1919272
11 03 1950	5.9375 16.8375 0.0 2.4394617
12 03 1950	5.7875004 15.1875 0.0 2.6275287
13 03 1950	8.3375 15.337501 0.0 2.8592033
14 03 1950	5.7875004 15.087501 0.0 2.8357704
15 03 1950	3.3374999 16.0875 0.0 2.9145446
16 03 1950	8.1375 16.1875 0.4 1.94519
17 03 1950	8.1375 17.5875 0.0 2.8737195
18 03 1950	5.4875 16.5875 0.0 2.5542436
19 03 1950	7.1375003 15.7375 2.2 2.1017578
20 03 1950	8.8875 15.337501 1.3000001 2.273311
21 03 1950	7.7875004 15.4875 0.0 2.4532585
22 03 1950	7.3375 14.2375 2.5 2.161733
23 03 1950	6.1375003 17.9875 0.2 2.99981
24 03 1950	5.6375003 18.1875 0.0 3.3152156
25 03 1950	7.6375003 18.887499 0.0 3.2154999
26 03 1950	7.0375004 18.037498 0.3 2.9102097
27 03 1950	6.5375004 16.1875 1.7 2.330073
28 03 1950	10.6875 15.1875 4.3999996 1.6364077
29 03 1950	11.1875 15.837501 2.8999996 2.1794224
30 03 1950	9.6875 15.587501 0.3 2.0079522
31 03 1950	9.587501 17.137499 0.1 3.1677272
01 04 1950	7.7375 15.7375 3.4 2.4521544
02 04 1950	6.1875 15.337501 0.1 2.9064236
03 04 1950	8.7875 12.4875 3.9999998 2.2016816
04 04 1950	8.837501 12.8875 2.1999998 2.694366
05 04 1950	8.7875 15.1875 0.0 3.0938969
06 04 1950	7.3375 17.537498 0.0 3.5885713
07 04 1950	5.7875004 18.5875 0.0 3.4786685
08 04 1950	7.0875 19.8375 0.0 3.806813
09 04 1950	5.4375 20.137499 0.0 4.504753
10 04 1950	9.6875 18.5875 0.0 4.03778
11 04 1950	10.0375 17.8375 0.0 3.9464562
12 04 1950	8.1375 17.8375 2.6 1.790929
13 04 1950	11.9875 22.5875 4.0 3.7203023
14 04 1950	13.337501 18.5875 5.2999997 2.1060898
15 04 1950	11.3875 17.5875 0.0 3.6541421
